Timestamp,I agree to participate in the research study. I understand the purpose and nature of this study and I am participating voluntarily as an anonymous user.,Your University (Optional),Your Gender,Your Batch,Your Field,Your CGPA,Is your university conducting online classes?,Which tool/equipment do you use to attend your online classes? (You may select more than one answers),How do you access the internet? (You may select more than one answer),Select any technological issue you face while attending an online class?,Select any non-technological issues you face while attending your online class?,"On a scale of 1 to 5, how much do you think your studies have been affected by the pandemic?",Do you think COVID-19 will have an impact on your future (career)?,Tell us briefly what impact do you think COVID-19 might have on your future (career)?,Did your university provide any help to ease your experience of online classes?,How did your university help you to ease your experience of online classes?,"On a scale of 1 to 5, how do you feel about the shift to online classes? ",What GPA do you expect in your current semester?,Would your GPA have been the same had the lockdown not happened?,Do you think the online classes  can become permanent in the near future?,Are you struggling while learning online as opposed to in-person learning?,Do you think that students who missed assignments/classes due to this pandemic should be compensated?,Has COVID-19 affected your relationship with your family?,Do you think that the lockdown has increased your workload?,"On a scale of 1 to 5, how productive have you been during the lock-down?",How many courses do you have?,"On a scale of 1 to 5, how many assignments, tasks, projects, etc. are you able to complete on their respective deadlines?","On a scale of 1 to 5, how professional do you think are these online classes to you?","Considering any and all problems you have at home, how much do you think you are able to learn from online classes?","Have you faced any medical conditions like nausea, headache, backache, eye pain, etc. due to online classes?","Would you prefer uploaded lectures on sites like YouTube over live learning on Zoom, MS Teams, etc.?",What grading criteria should be used in your point of view for online education?,"On a scale of 1 to 5, how understanding and cooperative has your family been during these classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?","On a scale of 1 to 5, how stressed do you feel about online classes?","On a scale of 1 to 5, how much are you affected mentally due to this lockdown/pandemic?",Do you think conducting online classes during this lockdown would have been a better option?,Why do you think conducting online classes should have been a better option?
15/06/2020 17:43:57,Yes,Habib University,Female,Class of 2021,Science and Engineering,3.1 - 3.5,Yes,Personal Laptop,"Wi-Fi Device, Mobile Data through Hot spot","Disconnection of internet, Electricity disruption",I am unable to concentrate and I zone-out during online session,3,Maybe,Might delay everything,Yes,"Flexible attendance policies, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,3.1 - 3.5,No,Maybe,Yes,Yes,No,Yes,2,5 - 6,5,3,2,Yes,Yes,Jo abhi kia hai habib walon ne woh set hai,5,1,1,,,
15/06/2020 18:06:06,Yes,Habib University,Female,Class of 2023,Science and Engineering,2.6 - 3.0,Yes,"Shared Laptop/Desktop, Borrowed Laptop","Cable Network, Mobile Data on Phone, Mobile Data through Hot spot","Disconnection of internet, Slow internet speed, I do not get enough time to use the shared laptop/desktop, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,Might end up dropping out ,Yes,"Ease with deadlines ,Lectures are recorded and available ",1,1.5 - 2.5,No,Maybe,Yes,Yes,Yes,Yes,3,5 - 6,3,3,2,Yes,Yes,Pass/Fail Semester,1,5,5,,,
15/06/2020 19:17:17,Yes,,Male,Class of 2023,Science and Engineering,2.6 - 3.0,Yes,"Personal Desktop, Personal Laptop, Personal Phone","Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, Electricity disruption","I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",3,Yes,Lower salaries. Selection based on skills,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,2.6 - 3.0,Maybe,Yes,Yes,Yes,No,Yes,3,4 or less,3,4,3,No,Yes,Pass/Fail Semester,4,3,4,,,
15/06/2020 19:50:03,Yes,,Female,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Cable Network,"Disconnection of internet, Slow internet speed, Electricity disruption",I am unable to concentrate and I zone-out during online session,5,Maybe,Job market,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",3,3.1 - 3.5,No,Yes,Yes,Yes,No,No,2,4 or less,5,5,1,Yes,Yes,Pass/Fail Semester,5,5,3,,,
15/06/2020 19:52:44,Yes,Szabist ,Male,Class of 2022,Arts and Humanities,2.6 - 3.0,Yes,"Personal Laptop, Personal Tablet, Personal Phone","Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, Slow internet speed, I do not get enough time to use the shared laptop/desktop, Electricity disruption","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I am unable to concentrate and I zone-out during online session",5,Yes,No learning ,Yes,"Pre-recorded lectures, Change in syllabus, Change in assessments",3,3.1 - 3.5,Maybe,Maybe,Yes,Maybe,Maybe,No,1,5 - 6,4,4,2,Yes,Yes,Pass/Fail Semester,5,4,1,,,
15/06/2020 19:55:44,Yes,Iobm,Male,Class of 2021,Media Sciences,2.6 - 3.0,Yes,"Personal Laptop, Personal Tablet, Personal Phone, Shared Laptop/Desktop","Wi-Fi Device, Mobile Data on Phone","Disconnection of internet, I do not get enough time to use the shared laptop/desktop, Software used for online classes doesn't work properly","I don't have a dedicated work space at home, I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,No time to study. So stressed ,Yes,"Pre-recorded lectures, Change in syllabus, Change in assessments",3,3.1 - 3.5,No,Yes,Yes,Yes,Maybe,Yes,2,5 - 6,4,4,2,Yes,Yes,Pass/Fail Semester,5,5,4,,,
15/06/2020 19:56:26,Yes,,Male,Class of 2021,Arts and Humanities,3.5 - 4.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Yes,"Break from the COVID-19 stress, Timely graduation"
15/06/2020 19:57:02,Yes,,Male,Class of 2020,Science and Engineering,3.1 - 3.5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Yes,"Break from the COVID-19 stress, Timely graduation"
15/06/2020 19:59:40,Yes,Habib University ,Female,Class of 2020,Science and Engineering,3.5 - 4.0,Yes,Personal Phone,Cable Network,"Disconnection of internet, Slow internet speed, Electricity disruption","I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,Delayed hiring processes ,Yes,"Flexible attendance policies, Pre-recorded lectures, Change in syllabus, Change in assessments, Provided the option to change the course grades to Pass/Fail",4,3.1 - 3.5,No,Yes,Yes,Yes,No,No,1,4 or less,5,5,2,Yes,Yes,Pass/Fail Semester,5,5,1,,,
15/06/2020 20:00:12,Yes,,Male,Class of 2021,Media Sciences,3.5 - 4.0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Maybe,"Break from the COVID-19 stress, Timely graduation, Break from family"
16/06/2020 02:00:49,Yes,LUMS,Female,Class of 2022,Arts and Humanities,2.6 - 3.0,Yes,"Personal Laptop, Personal Tablet, Personal Phone","Wi-Fi Device, Mobile Data on Phone, Mobile Data through Hot spot","Disconnection of internet, Slow internet speed","I don't have a dedicated work space at home, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",4,Yes,No proper studies will eventually be problematic later,Yes,"Flexible attendance policies, Change in assessments",2,2.6 - 3.0,No,Maybe,Yes,Yes,No,Yes,2,5 - 6,4,4,3,Yes,Yes,Pass/Fail Semester,3,4,4,,,
16/06/2020 02:01:55,Yes,KU,Male,Class of 2022,Science and Engineering,3.1 - 3.5,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,Yes,Timely graduation
16/06/2020 02:07:07,Yes,NED,Male,Class of 2023,Science and Engineering,3.1 - 3.5,Yes,Personal Phone,Wi-Fi Device,"Slow internet speed, Electricity disruption","I am overwhelmed with sudden online learning, I get distracted due to the disturbance made by peers during online session, I am unable to concentrate and I zone-out during online session",4,Maybe,No motivation to study ,Yes,Pre-recorded lectures,3,3.1 - 3.5,Maybe,Maybe,Yes,Yes,No,No,2,5 - 6,5,2,2,No,Yes,Pass/Fail Semester,5,4,3,,,
16/06/2020 02:12:51,Yes,,Female,Class of 2024,Science and Engineering,3.5 - 4.0,Yes,"Personal Laptop, Personal Phone",Wi-Fi Device,Electricity disruption,"I am unable to concentrate and I zone-out during online session, I am hesitant to ask questions during online session",5,Yes,covid has affected the job market really bad which will eventually affect us,Yes,"Flexible attendance policies, Pre-recorded lectures",5,3.5 - 4.0,Yes,Yes,No,Maybe,No,No,5,5 - 6,5,5,4,Yes,Yes,Lower-scaled,5,5,5,,,
